SMILES,DB.Number,M.Wt.,Formula,Name,InChI Code,Model_Enthalpy,Model+Measured_Enthalpy,Model_Entropy,Model+Measured_entropy,C,H,As,B,Br,Cl,F,Ge,I,N,O,P,S,Se,Si,PM6 Entropy 298K,PM7 Enthalpy 298K,"PM7 H-Ho (300 K), kCal/mol","PM7 H-Ho (400 K), kCal/mol","PM7 H-Ho (500 K), kCal/mol","PM7 H-Ho (600 K), kCal/mol","PM7 H-Ho (700 K), kCal/mol","PM7 H-Ho (800 K), kCal/mol","PM7 H-Ho (900 K), kCal/mol","PM7 H-Ho (1000 K), kCal/mol","PM7 H-Ho (1100 K), kCal/mol","PM7 H-Ho (1200 K), kCal/mol","PM7 H-Ho (1300 K), kCal/mol","PM7 H-Ho (1400 K), kCal/mol","PM7 H-Ho (1500 K), kCal/mol","PM7 S-So (300 K), Cal/mol/K","PM7 S-So (400 K), Cal/mol/K","PM7 S-So (500 K), Cal/mol/K","PM7 S-So (600 K), Cal/mol/K","PM7 S-So (700 K), Cal/mol/K","PM7 S-So (800 K), Cal/mol/K","PM7 S-So (900 K), Cal/mol/K","PM7 S-So (1000 K), Cal/mol/K","PM7 S-So (1100 K), Cal/mol/K","PM7 S-So (1200 K), Cal/mol/K","PM7 S-So (1300 K), Cal/mol/K","PM7 S-So (1400 K), Cal/mol/K","PM7 S-So (1500 K), Cal/mol/K",DG (298K),DG   (300K),DG (400K),DG (500K),DG (600K),DG (700K),DG (800K),DG (900K),DG (1000K),DG (1100K),DG (1200K),DG (1300K),DG (1400K),DG (1500K)
[H][H],1,2.016,H2,dihydrogen,InChI=1S/H2/h1H,6.10E-05,-0.058,148.5,130.68,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31.239,-32.011,0.014,0.71,1.405,2.101,2.797,3.493,4.19,4.888,5.589,6.294,7.003,7.717,8.436,0.047,2.047,3.599,4.868,5.94,6.869,7.69,8.426,9.095,9.708,10.275,10.804,11.301,-0.058,-0.058018,-0.057384,-0.06051,-0.057564,-0.04778,-0.034796,-0.01568,0.00916,0.04141,0.090592,0.15259,0.226252,0.30621
C,2,16.043,CH4,methane,InChI=1S/CH4/h1H4,-74.65,-74.54721857,195.2,187.065,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5126,-14.404,0.017,0.951,2.032,3.267,4.65,6.168,7.806,9.552,11.392,13.314,15.307,17.361,19.469,0.058,2.735,5.14,7.389,9.517,11.542,13.471,15.309,17.062,18.734,20.328,21.851,23.305,-50.69678857,-50.53769057,-42.06995857,-32.88955857,-23.21457057,-13.18396057,-2.916826571,7.512159429,18.05752143,28.67096543,39.32675743,50.01278943,60.70010943,71.39535143
N,3,17.031,H3N,ammonia,InChI=1S/H3N/h1H3,-45.94,-45.90416667,197.3,192.8,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,45.8864,-4.26,0.017,0.879,1.814,2.833,3.94,5.132,6.406,7.754,9.169,10.644,12.171,13.745,15.359,0.056,2.533,4.616,6.472,8.176,9.767,11.266,12.686,14.034,15.317,16.539,17.705,18.819,-16.39486567,-16.19538067,-5.943322667,4.839913333,15.98459733,27.37945733,38.93514533,50.60422133,62.33757333,74.11237133,85.90528133,97.70373733,109.4994733,121.2773233
O,4,18.015,H2O,water,InChI=1S/H2O/h1H2,-241.9,-241.8044,200.6,243.318,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,44.9943,-57.799,0.016,0.833,1.679,2.56,3.48,4.439,5.439,6.475,7.547,8.65,9.781,10.937,12.116,0.054,2.403,4.289,5.894,7.311,8.592,9.769,10.861,11.882,12.841,13.747,14.604,15.417,-244.803621,-244.823886,-245.678376,-246.29144,-246.728052,-247.033786,-247.248128,-247.388208,-247.48238,-247.535876,-247.562956,-247.579318,-247.580648,-247.57061
C#C,6,26.038,C2H2,ethyne,InChI=1S/C2H2/c1-2/h1-2H,227.4,227.296016,204.2,201.777,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1307,57.137,0.018,0.978,2.08,3.3,4.619,6.024,7.506,9.055,10.663,12.322,14.026,15.769,17.546,0.059,2.81,5.264,7.485,9.517,11.392,13.137,14.768,16.3,17.743,19.107,20.399,21.625,209.53015,209.41237,203.594736,198.018656,192.640236,187.424194,182.343888,177.374102,172.498676,167.697056,162.956088,158.265158,153.617888,149.011046
C#N,7,27.026,CHN,hydrogen cyanide,InChI=1S/CHN/c1-2/h1H,132.9,132.60612,204.1,201.892,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,47.804,29.847,0.015,0.829,1.716,2.669,3.681,4.747,5.861,7.017,8.21,9.436,10.69,11.969,13.269,0.052,2.386,4.363,6.098,7.658,9.08,10.392,11.609,12.746,13.813,14.817,15.764,16.661,122.173885,122.101462,118.685748,115.40283,112.233756,109.151292,106.14726,103.198596,100.30306,97.444662,94.615992,91.815592,89.044812,86.28907
N#N,9,28.014,N2,dinitrogen,InChI=1S/N2/c1-2,0.04578,0,199.9,191.6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,45.826,32.99,0.014,0.711,1.41,2.118,2.837,3.57,4.318,5.08,5.856,6.643,7.442,8.25,9.066,0.047,2.05,3.611,4.901,6.009,6.988,7.868,8.671,9.41,10.096,10.735,11.333,11.897,0.002682,0.002282,0.00578,0.00531,0.013132,0.025526,0.042328,0.068124,0.09662,0.1352,0.168404,0.21647,0.270084,0.31669
C=C,10,28.054,C2H4,ethene,InChI=1S/C2H4/c1-2/h1-2H2,52.26,52.244716,223.5,220.098,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,52.3188,13.856,0.02,1.14,2.493,4.066,5.832,7.77,9.857,12.072,14.4,16.823,19.33,21.907,24.547,0.067,3.273,6.284,9.145,11.865,14.45,16.906,19.24,21.457,23.565,25.571,27.481,29.302,67.961832,68.067498,73.84546,80.387896,87.470136,94.923486,102.644516,110.552004,118.580476,126.70563,134.881616,143.098302,151.334364,159.586636
C=O,11,30.026,CH2O,formaldehyde,InChI=1S/CH2O/c1-2/h1H2,-107.1,-111.3272873,226.5,218.997,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,52.2733,-25.543,0.017,0.924,1.938,3.063,4.291,5.612,7.016,8.49,10.026,11.614,13.248,14.919,16.624,0.057,2.66,4.919,6.966,8.857,10.62,12.272,13.825,15.289,16.67,17.977,19.216,20.392,-105.3683303,-105.3281553,-103.0759873,-100.4219073,-97.46757527,-94.29748927,-90.96890727,-87.51972127,-83.98908727,-80.39502927,-76.75018727,-73.06786527,-69.36579927,-65.63780727
CC,12,30.07,C2H6,ethane,InChI=1S/C2H6/c1-2/h1-2H3,-84.12,-84.137805,240.6,230.372,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7238,-18.198,0.025,1.42,3.152,5.205,7.544,10.133,12.94,15.934,19.089,22.383,25.795,29.311,32.915,0.082,4.073,7.924,11.659,15.259,18.714,22.017,25.169,28.176,31.041,33.772,36.376,38.863,-32.539701,-32.190733,-14.086461,5.181895,25.214323,45.749681,66.597719,87.652141,108.819895,130.031967,151.262479,172.475447,193.667623,214.802885
[N]=O,13,31.014,NO,nitric oxide,InChI=1S/NO/c1-2,87.27,90.29,208.9,210.76,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,47.5988,22.302,0.014,0.713,1.42,2.142,2.881,3.638,4.411,5.2,6.001,6.813,7.635,8.465,9.302,0.047,2.056,3.634,4.95,6.089,7.099,8.01,8.84,9.603,10.31,10.968,11.583,12.16,86.600164,86.575282,85.341108,84.11104,82.89206,81.682366,80.484484,79.28796,78.1058,76.926836,75.74798,74.576338,73.409584,72.24816
NC,14,31.058,CH5N,methanamine,"InChI=1S/CH5N/c1-2/h2H2,1H3",-18.2,-21.71633333,242,243.566,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,58.0222,-3.435,0.023,1.305,2.854,4.664,6.711,8.966,11.405,14.002,16.736,19.587,22.541,25.582,28.698,0.077,3.747,7.193,10.486,13.637,16.646,19.516,22.251,24.855,27.336,29.699,31.953,34.102,33.31785967,33.68769867,52.86258267,73.05851667,93.91129867,115.1782847,136.6931227,158.3587747,180.0923467,201.8507067,223.5865507,245.2981307,266.9514707,288.5517667
O=O,15,31.998,O2,dioxygen,InChI=1S/O2/c1-2,0.07431,0,209.7,205.152,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46.4665,25.673,0.014,0.722,1.45,2.2,2.972,3.764,4.571,5.391,6.222,7.061,7.908,8.76,9.617,0.047,2.083,3.705,5.072,6.262,7.319,8.269,9.133,9.925,10.655,11.333,11.964,12.556,-0.00149,-0.001318,-0.002216,0.00405,0.010824,0.021148,0.038984,0.058902,0.08144,0.10781,0.1381,0.171718,0.212072,0.24794
OC,16,32.042,CH4O,methanol,"InChI=1S/CH4O/c1-2/h2H,1H3",-188.2,-201.6742956,245.1,240.337,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,57.2108,-48.938,0.023,1.245,2.689,4.343,6.184,8.189,10.336,12.606,14.981,17.448,19.994,22.607,25.278,0.075,3.576,6.788,9.798,12.633,15.308,17.835,20.226,22.489,24.635,26.672,28.608,30.451,-163.1320186,-162.8702556,-149.4213676,-135.2194456,-120.5356396,-105.5431336,-90.35632756,-75.05323556,-59.69139556,-44.30553756,-28.92051556,-13.55082356,1.789248444,17.08797444
NN,17,32.046,H4N2,hydrazine,InChI=1S/H4N2/c1-2/h1-2H2,87.28,96.52604,234.3,238.5,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,55.489,15.303,0.021,1.155,2.478,4.002,5.715,7.601,9.641,11.814,14.104,16.494,18.97,21.522,24.138,0.07,3.321,6.266,9.038,11.676,14.192,16.593,18.881,21.063,23.142,25.124,27.014,28.819,160.437802,160.86754,182.957428,205.96964,229.569096,253.520364,277.680572,301.950654,326.26498,350.575786,374.854888,399.082524,423.256272,447.35075
NO,18,33.03,H3NO,hydroxylamine,"InChI=1S/H3NO/c1-2/h2H,1H2",-41.91,-43.61,239.9,239.9,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,56.1917,-20.041,0.02,1.105,2.343,3.732,5.26,6.914,8.677,10.536,12.478,14.492,16.568,18.698,20.873,0.068,3.179,5.934,8.462,10.815,13.021,15.097,17.055,18.906,20.658,22.319,23.897,25.398,2.430404,2.738628,18.637112,35.17193,52.098964,69.26311,86.567596,103.937396,121.33558,138.727802,156.099132,173.437544,190.732296,207.97118
P,19,33.9978,H3P,phosphane,InChI=1S/H3P/h1H3,7.922,5.4579,213.5,210.2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,50.3479,-3.358,0.017,0.927,1.943,3.071,4.305,5.635,7.05,8.538,10.087,11.69,13.337,15.023,16.742,0.058,2.667,4.931,6.984,8.885,10.66,12.325,13.892,15.368,16.762,18.081,19.33,20.515,13.473206,13.526328,16.887436,21.0351,25.703208,30.71939,35.97976,41.4116,46.95918,52.587596,59.354208,70.290306,81.48898,92.51141
OO,20,34.014,H2O2,hydrogen peroxide,InChI=1S/H2O2/c1-2/h1-2H,-135.9,-135.8545,237.4,232.991,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,54.347,-30.225,0.02,1.076,2.231,3.479,4.81,6.215,7.685,9.212,10.79,12.413,14.073,15.767,17.49,0.067,3.098,5.672,7.945,9.995,11.87,13.6,15.209,16.713,18.124,19.453,20.708,21.897,-105.209372,-105.003118,-94.482276,-83.6299,-72.57114,-61.38537,-50.12368,-38.8195,-27.50196,-16.182374,-4.865344,6.428538,17.706544,28.95501
C(F),21,34.0334,CH3F,fluoromethane,InChI=1S/CH3F/c1-2/h1H3,-196.4,-238.2304667,225.8,223.1205,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,53.2414,-49.375,0.018,0.999,2.158,3.494,4.988,6.621,8.373,10.229,12.172,14.189,16.271,18.407,20.59,0.06,2.872,5.451,7.88,10.181,12.359,14.422,16.376,18.227,19.982,21.648,23.231,24.737,-214.3803347,-214.2196667,-205.7594307,-196.6041167,-186.9688867,-177.0179827,-166.8452827,-156.5307907,-146.1144267,-135.6388527,-125.1309587,-114.6002187,-104.0625187,-93.52425667
S,22,34.076,H2S,hydrogen sulfide,InChI=1S/H2S/h1H2,-21,-20.5124,214.8,205.757,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,49.1978,-3.514,0.017,0.858,1.738,2.66,3.624,4.63,5.677,6.761,7.878,9.025,10.197,11.392,12.606,0.055,2.473,4.435,6.114,7.6,8.943,10.176,11.317,12.382,13.379,14.317,15.203,16.041,-3.117097,-2.99776,3.450084,11.40329,20.310688,29.91902,40.086308,51.792948,68.76752,85.951254,103.329536,120.872332,138.566704,156.40186
C1=CC1,27,40.065,C3H4,cyclopropene,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2",278.1,278.0614,244.1,244.1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8181,63.207,0.023,1.384,3.081,5.065,7.287,9.709,12.301,15.037,17.896,20.86,23.914,27.046,30.244,0.079,3.969,7.743,11.352,14.773,18.005,21.056,23.937,26.661,29.24,31.684,34.005,36.211,288.33644,288.402974,292.363752,297.07811,302.303084,307.879962,313.7005,319.697408,325.8174,332.019202,338.27196,344.566264,350.88382,357.21835
CC#C,28,40.065,C3H4,prop-1-yne,"InChI=1S/C3H4/c1-3-2/h1H,2H3",185.4,185.3208229,246,249.777,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58.3489,45.984,0.027,1.505,3.27,5.288,7.523,9.945,12.53,15.256,18.103,21.055,24.096,27.216,30.403,0.089,4.319,8.247,11.919,15.36,18.593,21.636,24.506,27.219,29.787,32.221,34.533,36.731,193.9041169,193.9634769,197.2729549,201.2356929,205.6664109,210.4344029,215.4385309,220.6227909,225.9368229,231.3335009,236.7903309,242.2882889,247.8161869,253.3664929
C=C=C,29,40.065,C3H4,"propa-1,2-diene",InChI=1S/C3H4/c1-3-2/h1-2H2,190.5,190.450365,245.2,245.081,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1183,71.57,0.029,1.618,3.5,5.625,7.955,10.46,13.117,15.906,18.808,21.809,24.893,28.051,31.272,0.095,4.646,8.834,12.702,16.29,19.633,22.761,25.698,28.463,31.073,33.542,35.882,38.104,200.433067,200.502655,204.206493,208.447805,213.058449,217.935725,222.999813,228.200143,233.496805,238.855631,244.256217,249.675777,255.116081,260.563745
C1=CN1,30,41.053,C2H3N,1H-azirine,InChI=1S/C2H3N/c1-2-3-1/h1-3H,337.5,337.5,244.7,244.7,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,58.8439,88.21,0.022,1.278,2.804,4.559,6.506,8.613,10.855,13.213,15.669,18.208,20.819,23.491,26.215,0.074,3.668,7.062,10.257,13.254,16.065,18.705,21.188,23.528,25.737,27.826,29.806,31.686,354.964141,355.080914,361.363344,368.25214,375.524264,383.057476,390.75698,398.56349,406.446,414.370726,422.314648,430.274586,438.232868,446.18148
N#CC,31,41.053,C2H3N,acetonitrile,InChI=1S/C2H3N/c1-2-3/h1H3,72.53,72.19094286,240.4,243.519,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,57.6066,18.209,0.025,1.352,2.905,4.66,6.592,8.679,10.9,13.236,15.672,18.192,20.787,23.444,26.155,0.081,3.885,7.34,10.534,13.51,16.294,18.908,21.369,23.69,25.883,27.959,29.927,31.798,90.00702186,90.12991886,96.47318286,103.3747429,110.6512709,118.1855429,125.9028269,133.7417469,141.6575029,149.6284329,157.6235749,165.6443469,173.6726589,181.6908829
C[N+]#[C-],32,41.053,C2H3N,isocyanomethane,InChI=1S/C2H3N/c1-3-2/h1H3,158.7,155.1921333,242.4,475.497,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,58.1618,38.913,0.025,1.372,2.931,4.69,6.626,8.718,10.946,13.29,15.734,18.263,20.866,23.531,26.25,0.083,3.945,7.415,10.616,13.597,16.389,19.011,21.48,23.808,26.009,28.092,30.066,31.942,103.8787683,103.5352013,86.66645333,70.33886333,54.38540533,38.68969133,23.16695733,7.767531333,-7.557566667,-22.82958067,-38.08407067,-53.31836467,-68.54511867,-83.78070667
C1=CO1,35,42.037,C2H2O,oxirene,InChI=1S/C2H2O/c1-2-3-1/h1-2H,385.3,385.4,248.1,248.1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,58.1681,48.341,0.022,1.253,2.685,4.28,6.009,7.848,9.782,11.795,13.875,16.013,18.201,20.431,22.698,0.075,3.6,6.788,9.692,12.355,14.81,17.086,19.206,21.188,23.048,24.799,26.452,28.015,384.396783,384.38846,384.25984,384.43613,384.824964,385.37189,386.0349,386.793378,387.61952,388.497976,389.416472,390.369114,391.345376,392.35209
N#CN,36,42.041,CH2N2,cyanamide,InChI=1S/CH2N2/c2-1-3/h2H2,155.8,134.5,241.7,241.7,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,57.6046,34.897,0.024,1.327,2.773,4.345,6.031,7.821,9.701,11.662,13.694,15.787,17.932,20.124,22.355,0.082,3.821,7.041,9.904,12.501,14.889,17.103,19.169,21.104,22.925,24.642,26.266,27.805,160.226042,160.396492,169.253148,178.43645,187.826468,197.354154,206.970764,216.633794,226.32574,236.037028,245.73826,255.431232,265.112688,274.77455
C(C1)(C1),37,42.081,C3H6,cyclopropane,InChI=1S/C3H6/c1-2-3-1/h1-3H2,51.71,51.71688,241.6,239.253,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6502,12.018,0.026,1.549,3.539,5.937,8.679,11.711,14.987,18.472,22.133,25.945,29.886,33.938,38.085,0.085,4.433,8.855,13.217,17.438,21.482,25.339,29.008,32.497,35.813,38.967,41.969,44.83,102.378966,102.72197,120.599324,139.73395,159.669504,180.124312,200.911252,221.899922,243.0174,264.187314,285.379972,306.566382,327.732532,348.85758
CC=C,38,42.081,C3H6,prop-1-ene,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",35.9,20.17630333,273,268.093,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4031,4.497,0.03,1.724,3.818,6.275,9.051,12.102,15.39,18.882,22.547,26.363,30.306,34.36,38.508,0.1,4.947,9.602,14.074,18.347,22.417,26.287,29.964,33.457,36.776,39.932,42.935,45.797,62.24406933,62.52730333,77.39483933,93.37836333,110.0884113,127.2909613,144.8064153,162.5215093,180.3545433,198.2391773,216.1482273,234.0455953,251.9268833,269.7620533
OC#N,39,43.025,CHNO,cyanic acid,InChI=1S/CHNO/c2-1-3/h3H,-14.87,-14.91,245.2,245.2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,57.713,-2.079,0.022,1.172,2.428,3.774,5.198,6.689,8.24,9.843,11.49,13.176,14.895,16.642,18.415,0.073,3.375,6.174,8.625,10.818,12.809,14.635,16.323,17.893,19.36,20.735,22.03,23.253,-7.681116,-7.631782,-5.11174,-2.44487,0.32732,3.178072,6.083424,9.03578,12.0246,15.035336,18.06522,21.11626,24.1727,27.24089
N=[N+]=[N-],40,43.029,HN3,hydrogen azide,InChI=1S/HN3/c1-3-2/h1H,294.1,294.0649,246,239,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,57.1785,73.261,0.021,1.139,2.357,3.664,5.051,6.511,8.033,9.612,11.238,12.905,14.608,16.341,18.101,0.071,3.28,5.993,8.374,10.511,12.459,14.252,15.914,17.463,18.914,20.277,21.561,22.775,327.963443,328.189896,339.75756,351.57279,363.513428,375.514294,387.537584,399.549216,411.55104,423.523416,435.453976,447.353672,459.216108,471.03983
C1CN1,41,43.069,C2H5N,aziridine,"InChI=1S/C2H5N/c1-2-3-1/h3H,1-2H2",126.3,126.394752,249.6,249.6,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,59.7703,32.292,0.024,1.409,3.196,5.338,7.783,10.481,13.394,16.489,19.737,23.117,26.608,30.195,33.863,0.079,4.037,8.007,11.905,15.668,19.268,22.696,25.955,29.05,31.99,34.784,37.441,39.972,181.341333,181.712156,200.956108,221.346902,242.437252,263.971924,285.76554,307.71702,329.744372,351.793762,373.834972,395.843986,417.81452,439.720652
C=CN,42,43.069,C2H5N,ethenamine,"InChI=1S/C2H5N/c1-2-3/h2H,1,3H2",42.8,42.8,258.3,360.061,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,62.2035,11.203,0.029,1.675,3.651,5.92,8.446,11.196,14.142,17.256,20.516,23.902,27.395,30.981,34.649,0.098,4.811,9.206,13.335,17.224,20.894,24.361,27.641,30.747,33.692,36.488,39.145,41.675,64.829203,64.976178,72.994708,81.91764,91.41222,101.272956,111.353344,121.570278,131.8472,142.145324,152.431088,162.680058,172.88804,183.04207
CN=C,43,43.069,C2H5N,N-methylmethanimine,"InChI=1S/C2H5N/c1-3-2/h1H2,2H3",63.03,63.03,265.1,265.1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,64.134,16.756,0.028,1.602,3.512,5.734,8.232,10.969,13.911,17.029,20.298,23.695,27.201,30.801,34.483,0.094,4.598,8.846,12.89,16.736,20.387,23.851,27.134,30.248,33.203,36.009,38.677,41.217,113.357581,113.695314,131.260104,149.79952,168.9574,188.509024,208.298692,228.218218,248.2086,268.215586,288.201852,308.151324,328.049776,347.89135
O=C=O,46,44.009,CO2,carbon dioxide,InChI=1S/CO2/c2-1-3,-393.5,-393.522376,227.2,214.3716,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,51.3965,-84.515,0.018,0.997,2.053,3.172,4.345,5.562,6.817,8.103,9.415,10.75,12.103,13.472,14.855,0.062,2.872,5.226,7.265,9.071,10.696,12.173,13.528,14.779,15.94,17.023,18.038,18.991,-394.5607868,-394.569764,-394.93594,-395.320476,-395.703596,-396.066842,-396.41232,-396.732782,-397.033476,-397.314278,-397.570136,-397.809698,-398.033632,-398.232446
C#C(F),47,44.0284,C2HF,fluoroethyne,InChI=1S/C2HF/c1-2-3/h1H,118,120.51,228.8,231.61,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,54.0642,23.519,0.022,1.187,2.49,3.9,5.395,6.963,8.593,10.276,12.005,13.774,15.578,17.41,19.269,0.072,3.413,6.316,8.884,11.188,13.281,15.2,16.973,18.62,20.159,21.602,22.96,24.243,104.598141,104.493122,99.185324,93.95101,88.798528,83.727512,78.737376,73.81889,68.96354,64.16769,59.415776,54.711522,50.03988,45.40256
O=CC,48,44.053,C2H4O,acetaldehyde,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",-166.6,-166.6857886,270.2,264.988,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,63.9652,-41.13,0.026,1.48,3.221,5.225,7.461,9.895,12.498,15.247,18.12,21.098,24.167,27.312,30.524,0.087,4.25,8.123,11.771,15.212,18.459,21.524,24.42,27.157,29.747,32.203,34.534,36.749,-133.7789896,-133.5576566,-121.9916886,-109.6568286,-96.82245657,-83.65052057,-70.27068457,-56.76458657,-43.18342857,-29.56177457,-15.93080057,-2.310130571,11.28730343,24.86380143
C1CO1,49,44.053,C2H4O,oxirane,InChI=1S/C2H4O/c1-2-3-1/h1-2H2,-55.69,-56.050544,249.8,244.188,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,58.1724,-11.264,0.023,1.331,2.98,4.929,7.131,9.543,12.133,14.873,17.739,20.712,23.776,26.918,30.127,0.076,3.816,7.482,11.028,14.417,17.636,20.685,23.57,26.3,28.886,31.339,33.667,35.88,-16.945345,-16.681158,-2.933616,11.710726,26.918952,42.491494,58.285312,74.221276,90.241496,106.301376,122.36974,138.42571,154.469312,170.488216
N1NC1,50,44.057,CH4N2,diaziridine,"InChI=1S/CH4N2/c1-2-3-1/h2-3H,1H2",267.9,267.9,244.2,244.2,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,57.9405,54.509,0.021,1.265,2.84,4.717,6.853,9.208,11.747,14.443,17.271,20.21,23.245,26.36,29.546,0.072,3.628,7.129,10.543,13.831,16.973,19.962,22.801,25.495,28.052,30.48,32.789,34.986,331.823682,332.250892,354.444084,377.66909,401.514016,425.723734,450.135928,474.650416,499.20456,523.75327,548.260368,572.72228,597.110772,621.43706
CCC,51,44.097,C3H8,propane,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",-90.18,-104.3134867,279,271.663,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,66.4512,-23.086,0.034,1.994,4.457,7.389,10.731,14.429,18.433,22.699,27.189,31.871,36.718,41.706,46.816,0.114,5.719,11.194,16.527,21.672,26.605,31.317,35.81,40.088,44.161,48.039,51.735,55.261,-24.36694067,-23.82992267,4.042265333,33.43381333,63.79621733,94.77082133,126.1192133,157.6854993,189.3495333,221.0408093,252.7057173,284.3199273,315.8519733,347.2844233
O=CN,52,45.041,CH3NO,formamide,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)",-221.1,-186.0965,255.7,249.172,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,60.3249,-44.096,0.024,1.337,2.885,4.641,6.58,8.676,10.908,13.255,15.701,18.232,20.835,23.5,26.219,0.079,3.84,7.284,10.481,13.467,16.263,18.89,21.362,23.693,25.894,27.978,29.953,31.828,-141.108632,-140.804646,-125.24742,-109.04051,-92.437968,-75.587842,-58.588792,-41.51069,-24.39876,-7.282584,9.822856,26.893298,43.930644,60.93086
CNC,53,45.085,C2H7N,dimethylamine,"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3",-20.07,-20.055416,276.2,271.437,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,66.6892,-4.243,0.032,1.854,4.115,6.791,9.835,13.197,16.834,20.706,24.78,29.027,33.421,37.941,42.57,0.108,5.321,10.349,15.216,19.901,24.386,28.667,32.745,36.627,40.321,43.837,47.186,50.379,67.326379,67.912362,98.211792,129.911374,162.489636,195.602658,229.02046,262.59975,296.238064,329.867788,363.446908,396.946456,430.347292,463.637354
NCC,54,45.085,C2H7N,ethanamine,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",-35.95,-49.13316667,280.4,284.517,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,67.8552,-8.998,0.032,1.889,4.182,6.883,9.945,13.318,16.961,20.837,24.911,29.156,33.547,38.065,42.69,0.11,5.421,10.521,15.435,20.147,24.647,28.936,33.017,36.899,40.591,44.106,47.453,50.643,34.35078833,34.90810333,63.88114133,94.21420333,125.3991933,157.1089113,189.1117053,221.2688813,253.4909333,285.6989613,317.8580573,349.9296393,381.9133773,413.7859233
O=CO,57,46.025,CH2O2,formic acid,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",-377.5,-377.4392677,258.3,249.462,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,60.1096,-80.796,0.023,1.29,2.735,4.336,6.069,7.914,9.855,11.877,13.967,16.115,18.313,20.553,22.83,0.078,3.709,6.927,9.841,12.51,14.973,17.258,19.387,21.379,23.248,25.007,26.667,28.237,-349.9919777,-349.8085397,-340.3363157,-330.5003977,-320.4346157,-310.2280077,-299.9360597,-289.5920637,-279.2200677,-268.8458497,-258.4757357,-248.1149657,-237.7712117,-227.4428577
C=C(F),58,46.0444,C2H3F,fluoroethene,"InChI=1S/C2H3F/c1-2-3/h2H,1H2",-138.5,-138.4827,252.6,263.1965,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,60.3244,-32.267,0.023,1.304,2.832,4.58,6.518,8.617,10.854,13.208,15.661,18.2,20.811,23.483,26.209,0.077,3.743,7.142,10.324,13.308,16.109,18.742,21.221,23.559,25.767,27.857,29.837,31.718,-124.864696,-124.773218,-119.777276,-114.14522,-108.079992,-101.709518,-95.131236,-88.405784,-81.58054,-74.693402,-67.758772,-60.802958,-53.828784,-46.84994
